student_id,age,attendance_percentage,study_hours_per_day,assignment_completion_rate,internal_marks,previous_cgpa,extracurricular_activities,part_time_job,performance_category,gender_Male,gender_Other,performance_encoded,academic_score_index,engagement_score,study_efficiency
S0001,21,76.2,2.3,61.5,59.4,6.62,1,0,Good,True,False,2,55.97,68.85,2.758
S0002,22,73.5,5.0,68.9,44.8,4.55,0,0,Average,True,False,1,56.17,71.2,0.892
S0003,20,88.8,4.8,100.0,52.6,5.22,0,0,Excellent,True,False,3,68.61,94.4,1.065
S0004,22,70.6,6.8,74.4,62.6,6.36,0,0,Excellent,True,False,3,65.77,72.5,0.922
S0005,22,79.0,5.3,68.3,51.7,5.66,0,0,Good,True,False,2,60.34,73.65,1.048
S0006,19,79.8,1.0,94.1,40.6,4.66,0,0,Average,True,False,1,54.65,86.95,4.236
S0007,20,65.0,6.1,92.3,54.4,5.1,0,0,Good,True,False,2,63.92,78.65,0.823
S0008,20,89.9,2.0,64.9,42.0,4.27,1,1,Average,False,False,1,53.49,77.4,2.033
S0009,20,72.4,3.2,84.6,43.5,5.3,1,0,Average,True,False,1,55.58,78.5,1.606
S0010,22,63.7,4.5,68.6,58.2,5.93,0,1,Good,False,False,2,57.52,66.15,1.289
S0011,21,,8.0,100.0,58.4,,1,1,Excellent,True,False,3,,,
S0012,20,61.5,10.2,100.0,56.3,6.24,1,0,Excellent,False,True,3,72.08,80.75,0.606
S0013,23,75.4,5.2,93.4,53.2,5.09,0,1,Good,True,False,2,64.82,84.4,0.96
S0014,22,74.9,3.6,87.6,59.1,4.86,1,0,Good,True,False,2,62.93,81.25,1.314
S0015,19,91.3,5.1,100.0,61.1,5.06,1,0,Excellent,False,False,3,72.71,95.65,0.973
S0016,21,82.1,5.8,86.6,58.3,,0,0,Good,False,False,2,67.92,84.35,
S0017,23,74.6,3.4,64.1,52.9,4.96,1,0,Average,False,False,1,55.65,69.35,1.417
S0018,23,87.3,7.6,96.9,55.0,6.29,0,0,Excellent,True,False,3,73.12,92.1,0.817
S0019,19,95.9,4.5,100.0,66.2,5.33,1,0,Excellent,True,False,3,74.64,97.95,1.159
S0020,21,83.4,5.0,69.8,63.1,5.94,0,0,Excellent,False,False,3,65.23,76.6,1.165
S0021,22,75.2,5.3,80.2,55.2,4.79,1,0,Good,False,False,2,62.99,77.7,0.887
S0022,18,55.3,4.8,90.8,59.0,5.33,1,0,Good,False,False,2,60.63,73.05,1.088
S0023,21,59.0,5.7,85.6,45.8,4.0,1,0,Average,False,False,1,57.4,72.3,0.69
S0024,19,70.4,2.8,65.9,58.5,5.33,0,0,Good,True,False,2,55.92,68.15,1.838
S0025,23,65.9,,97.6,49.7,,1,0,Average,False,False,1,,81.75,
S0026,22,72.2,,100.0,44.4,5.1,1,0,Average,True,False,1,,86.1,
S0027,21,75.8,4.9,87.7,57.3,5.62,1,0,Good,True,False,2,64.71,81.75,1.124
S0028,18,82.9,5.6,72.6,60.8,4.69,1,1,Good,True,False,2,65.86,77.75,0.823
S0029,18,73.9,4.9,61.6,66.6,6.86,1,0,Excellent,True,False,3,62.27,67.75,1.372
S0030,20,82.3,7.3,93.5,58.0,5.65,1,0,Excellent,True,False,3,71.74,87.9,0.764
S0031,20,76.0,4.0,99.6,48.7,5.08,1,0,Good,True,False,2,62.63,87.8,1.239
S0032,19,45.4,5.3,92.7,57.8,5.46,1,1,Good,False,False,2,58.95,69.05,1.011
S0033,21,60.9,1.8,78.6,38.9,4.0,1,0,At Risk,True,False,0,47.56,69.75,2.105
S0034,21,72.8,3.2,72.6,58.6,5.69,1,0,Good,False,False,2,58.56,72.7,1.724
S0035,23,56.9,5.4,69.4,66.9,6.39,0,0,Good,True,False,2,60.52,63.15,1.162
S0036,23,84.0,5.7,98.9,59.1,4.15,1,0,Good,True,False,2,70.96,91.45,0.716
S0037,23,98.0,3.4,95.5,65.1,5.47,1,0,Excellent,False,False,3,72.05,96.75,1.563
S0038,20,93.3,3.9,59.6,50.5,4.83,0,0,Good,True,False,2,59.42,76.45,1.208
S0039,21,71.8,1.0,100.0,50.6,5.24,1,1,Good,True,False,2,57.33,85.9,4.764
S0040,21,97.4,3.3,90.2,60.7,6.6,1,0,Excellent,True,False,3,69.14,93.8,1.941
S0041,18,77.2,5.8,,64.3,5.24,0,0,Excellent,True,False,3,,,0.888
S0042,20,69.9,5.2,65.3,51.4,4.69,1,1,Average,False,True,1,57.19,67.6,0.885
S0043,22,65.8,5.0,64.5,41.5,4.08,0,0,At Risk,True,False,0,52.21,65.15,0.8
S0044,20,70.5,4.1,81.0,57.5,4.81,0,1,Good,False,False,2,60.78,75.75,1.145
S0045,22,69.2,4.0,90.5,36.3,4.0,1,0,Average,True,False,1,54.77,79.85,0.976
S0046,18,77.6,2.7,100.0,48.8,5.54,0,1,Good,False,False,2,60.98,88.8,1.979
S0047,19,77.4,5.4,96.4,66.9,5.17,0,0,Excellent,False,False,3,71.04,86.9,0.94
S0048,21,75.0,4.8,81.0,58.4,5.85,1,1,Good,False,False,2,63.39,78.0,1.194
S0049,18,81.6,5.0,69.6,75.1,5.14,0,1,Excellent,True,False,3,68.94,75.6,1.008
S0050,21,92.9,2.9,99.3,64.8,5.44,1,0,Excellent,True,False,3,70.6,96.1,1.813
S0051,23,89.2,0.0,60.5,41.5,4.23,1,0,Average,True,False,1,48.92,74.85,42.3
S0052,19,52.7,6.2,100.0,54.6,6.62,0,0,Good,False,False,2,62.62,76.35,1.051
S0053,19,36.7,3.0,76.7,39.6,4.16,0,1,At Risk,False,False,0,43.38,56.7,1.342
S0054,18,89.0,2.3,,40.9,4.0,1,0,Average,False,False,1,,,1.667
S0055,19,54.5,5.4,96.0,45.0,4.0,1,0,Average,True,False,1,57.58,75.25,0.727
S0056,22,71.6,3.2,79.3,46.6,4.82,0,0,Average,False,False,1,55.4,75.45,1.461
S0057,19,57.4,6.1,79.4,39.2,4.84,1,0,Average,False,False,1,54.12,68.4,0.781
S0058,21,48.0,5.2,80.3,50.4,5.32,0,0,Average,True,False,1,54.37,64.15,1.004
S0059,21,83.1,5.4,,59.1,5.68,1,1,Excellent,True,False,3,,,1.033
S0060,21,86.4,1.3,78.8,36.4,5.11,0,0,Average,False,False,1,52.27,82.6,3.65
S0061,21,,6.4,78.9,62.4,,0,1,Good,False,False,2,,,
S0062,22,36.1,4.5,81.5,50.1,5.72,0,0,Average,False,False,1,50.36,58.8,1.243
S0063,20,66.8,3.3,82.8,51.8,4.0,1,0,Average,True,False,1,56.89,74.8,1.176
S0064,23,80.9,4.3,51.7,54.6,4.55,1,0,Average,False,False,1,56.84,66.3,1.034
S0065,18,52.8,0.4,82.7,41.8,4.0,1,0,At Risk,True,False,0,45.04,67.75,8.0
S0066,21,77.8,4.8,69.9,63.2,5.57,0,1,Good,True,False,2,63.55,73.85,1.137
S0067,19,74.8,1.9,61.5,50.6,5.0,0,1,Average,True,False,1,51.88,68.15,2.5
S0068,21,83.7,1.3,52.3,42.4,4.64,0,0,Average,False,False,1,48.39,68.0,3.314
S0069,19,76.8,1.0,50.1,48.3,4.95,1,0,Average,False,False,1,47.79,63.45,4.5
S0070,23,60.4,6.2,67.1,66.3,5.24,1,0,Good,False,False,2,62.06,63.75,0.832
S0071,23,92.9,2.7,69.8,51.2,4.92,1,1,Good,True,False,2,59.6,81.35,1.757
S0072,23,72.6,7.1,100.0,79.9,5.6,0,1,Excellent,False,False,3,77.95,86.3,0.778
S0073,19,74.6,2.9,72.9,46.9,5.9,1,1,Good,True,False,2,54.48,73.75,1.967
S0074,21,61.0,0.6,78.9,40.4,4.18,0,0,At Risk,False,False,0,46.17,69.95,5.971
S0075,23,68.4,1.8,84.6,40.5,4.04,1,0,At Risk,True,False,0,51.19,76.5,2.126
S0076,22,61.7,6.5,90.0,59.8,6.86,0,0,Excellent,True,False,3,65.19,75.85,1.039
S0077,19,72.4,3.7,81.2,38.9,4.0,1,0,Average,True,False,1,54.12,76.8,1.053
S0078,19,100.0,2.9,62.9,54.3,4.36,0,0,Good,True,False,2,61.42,81.45,1.453
S0079,21,54.4,4.3,100.0,40.5,4.0,1,0,At Risk,False,False,0,54.94,77.2,0.909
S0080,19,50.8,5.0,100.0,51.3,5.02,1,0,Average,True,False,1,58.99,75.4,0.984
S0081,19,97.1,6.2,62.2,75.7,6.89,1,1,Excellent,True,False,3,73.54,79.65,1.094
S0082,23,71.9,6.9,73.4,67.4,6.64,1,1,Excellent,False,False,3,67.74,72.65,0.949
S0083,21,65.0,3.3,77.4,30.4,5.88,1,0,Average,True,False,1,47.87,71.2,1.729
S0084,23,90.6,1.3,63.1,67.4,4.24,1,0,Good,False,False,2,61.03,76.85,3.029
S0085,23,65.9,,89.0,51.7,5.59,1,0,Good,False,False,2,,77.45,
S0086,21,100.0,4.5,73.1,57.3,4.99,0,1,Good,False,False,2,67.17,86.55,1.085
S0087,18,85.2,2.1,100.0,53.1,4.72,1,1,Good,True,False,2,63.39,92.6,2.145
S0088,23,67.7,2.1,97.1,48.0,4.38,1,1,Average,False,False,1,56.64,82.4,1.991
S0089,22,100.0,4.7,87.6,58.8,4.8,0,1,Excellent,False,False,3,70.93,93.8,1.0
S0090,22,65.9,3.9,98.2,53.1,6.53,1,0,Good,True,False,2,61.2,82.05,1.632
S0091,19,86.1,4.1,99.8,53.3,5.87,0,0,Excellent,True,False,3,66.97,92.95,1.398
S0092,22,79.5,2.5,71.5,48.1,4.9,0,0,Average,False,False,1,55.18,75.5,1.885
S0093,19,94.5,3.5,69.8,53.4,6.28,0,0,Excellent,False,False,3,62.11,82.15,1.744
S0094,18,98.4,2.2,,44.7,4.0,0,1,Average,False,False,1,,,1.739
S0095,21,75.5,5.8,99.5,61.2,,1,0,Good,False,False,2,69.86,87.5,
S0096,21,63.7,6.1,89.3,62.1,4.0,1,0,Good,False,False,2,65.69,76.5,0.645
S0097,21,81.9,0.3,51.9,49.6,4.42,1,0,Average,True,False,1,48.72,66.9,11.05
S0098,22,64.8,2.1,67.2,52.3,5.27,1,1,Average,True,False,1,51.44,66.0,2.395
S0099,18,100.0,,,55.6,5.42,0,0,Good,True,False,2,,,
S0100,22,77.0,2.7,79.3,46.9,4.93,1,0,Average,False,False,1,56.02,78.15,1.761
S0101,22,69.5,3.8,100.0,59.0,4.41,1,0,Good,True,False,2,64.36,84.75,1.131
S0102,18,77.8,1.1,56.4,35.8,4.79,1,0,At Risk,False,False,0,45.09,67.1,3.992
S0103,18,,2.2,87.0,35.8,4.34,1,0,At Risk,False,False,0,,,1.887
S0104,18,60.4,2.0,100.0,,4.77,1,1,Average,False,False,1,,80.2,2.271
S0105,18,93.0,4.4,100.0,69.7,,1,0,Excellent,True,False,3,74.98,96.5,
