student_id,age,gender,attendance_percentage,study_hours_per_day,assignment_completion_rate,internal_marks,previous_cgpa,extracurricular_activities,part_time_job,performance_category
S0001,21,Male,76.2,2.3,61.5,59.4,6.62,1,0,Good
S0002,22,Male,73.5,5.0,68.9,44.8,4.55,0,0,Average
S0003,20,Male,88.8,4.8,100.0,52.6,5.22,0,0,Excellent
S0004,22,Male,70.6,6.8,74.4,62.6,6.36,0,0,Excellent
S0005,22,Male,79.0,5.3,68.3,51.7,5.66,0,0,Good
S0006,19,Male,79.8,1.0,94.1,40.6,4.66,0,0,Average
S0007,20,Male,65.0,6.1,92.3,54.4,5.1,0,0,Good
S0008,20,Female,89.9,2.0,64.9,42.0,4.27,1,1,Average
S0009,20,Male,72.4,3.2,84.6,43.5,5.3,1,0,Average
S0010,22,Female,63.7,4.5,68.6,58.2,5.93,0,1,Good
S0011,21,Male,83.0,8.0,100.0,58.4,5.3,1,1,Excellent
S0012,20,Other,61.5,10.2,100.0,56.3,6.24,1,0,Excellent
S0013,23,Male,75.4,5.2,93.4,53.2,5.09,0,1,Good
S0014,22,Male,74.9,3.6,87.6,59.1,4.86,1,0,Good
S0015,19,Female,91.3,5.1,100.0,61.1,5.06,1,0,Excellent
S0016,21,Female,82.1,5.8,86.6,58.3,4.72,0,0,Good
S0017,23,Female,74.6,3.4,64.1,52.9,4.96,1,0,Average
S0018,23,Male,87.3,7.6,96.9,55.0,6.29,0,0,Excellent
S0019,19,Male,95.9,4.5,100.0,66.2,5.33,1,0,Excellent
S0020,21,Female,83.4,5.0,69.8,63.1,5.94,0,0,Excellent
S0021,22,Female,75.2,5.3,80.2,55.2,4.79,1,0,Good
S0022,18,Female,55.3,4.8,90.8,59.0,5.33,1,0,Good
S0023,21,Female,59.0,5.7,85.6,45.8,4.0,1,0,Average
S0024,19,Male,70.4,2.8,65.9,58.5,5.33,0,0,Good
S0025,23,Female,65.9,2.9,97.6,49.7,4.83,1,0,Average
S0026,22,Male,72.2,1.8,100.0,44.4,5.1,1,0,Average
S0027,21,Male,75.8,4.9,87.7,57.3,5.62,1,0,Good
S0028,18,Male,82.9,5.6,72.6,60.8,4.69,1,1,Good
S0029,18,Male,73.9,4.9,61.6,66.6,6.86,1,0,Excellent
S0030,20,Male,82.3,7.3,93.5,58.0,5.65,1,0,Excellent
S0031,20,Male,76.0,4.0,99.6,48.7,5.08,1,0,Good
S0032,19,Female,45.4,5.3,92.7,57.8,5.46,1,1,Good
S0033,21,Male,60.9,1.8,78.6,38.9,4.0,1,0,At Risk
S0034,21,Female,72.8,3.2,72.6,58.6,5.69,1,0,Good
S0035,23,Male,56.9,5.4,69.4,66.9,6.39,0,0,Good
S0036,23,Male,84.0,5.7,98.9,59.1,4.15,1,0,Good
S0037,23,Female,98.0,3.4,95.5,65.1,5.47,1,0,Excellent
S0038,20,Male,93.3,3.9,59.6,50.5,4.83,0,0,Good
